开始时间：,,2025-10-21 16.33.24.134,2025-10-21 16.33.24.134,2025-10-21 16.33.24.134,2025-10-21 16.33.24.134,2025-10-21 16.33.24.134,2025-10-21 16.33.24.134
结束时间：,,2025-10-21 16.35.54.129,2025-10-21 16.35.54.129,2025-10-21 16.35.54.129,2025-10-21 16.35.54.129,2025-10-21 16.35.54.129,2025-10-21 16.35.54.129
采样频率：,,200Hz,200Hz,200Hz,200Hz,200Hz,200Hz
数据长度：,,30000,30000,30000,30000,30000,30000
序列号:,,201119103,201119084,201119085,201119088,201119101,201119105
测点标签:,,1,9084,9085,9088,9101,9105
序号：,相对时间,波高(mm),波高(mm),波高(mm),波高(mm),波高(mm),波高(mm)
1682,8.4050,-2.7083,5.8507,3.0311,3.0946,-5.4170,-5.3313
1683,8.4100,-2.8157,5.8322,3.0471,3.1290,-5.4472,-5.2273
1684,8.4150,-2.8635,5.7607,3.0561,3.1232,-5.4866,-5.2229
1685,8.4200,-2.9343,5.6928,3.0590,3.1586,-5.5336,-5.1292
1686,8.4250,-2.9962,5.6327,3.0671,3.1300,-5.5705,-5.1128
1687,8.4300,-3.0715,5.5657,3.0815,3.1654,-5.5860,-5.0305
1688,8.4350,-3.1419,5.4960,3.1065,3.1430,-5.6390,-4.9685
1689,8.4400,-3.2402,5.4184,3.1109,3.1540,-5.6582,-4.9193
1690,8.4450,-3.3360,5.3631,3.1227,3.1456,-5.6692,-4.8162
1691,8.4500,-3.3814,5.3416,3.1434,3.1732,-5.6827,-4.8024
1692,8.4550,-3.4827,5.2372,3.1403,3.1544,-5.7136,-4.6665
1693,8.4600,-3.5650,5.1785,3.1381,3.1784,-5.7495,-4.6492
1694,8.4650,-3.6355,5.0926,3.1640,3.1693,-5.7650,-4.5462
1695,8.4700,-3.7100,5.0505,3.1615,3.1846,-5.7838,-4.4879
1696,8.4750,-3.8025,4.9587,3.1687,3.1765,-5.7942,-4.3986
1697,8.4800,-3.8733,4.8294,3.1722,3.1862,-5.8009,-4.3187
1698,8.4850,-3.9102,4.7616,3.1837,3.2112,-5.7905,-4.2510
1699,8.4900,-3.9736,4.6869,3.2166,3.2405,-5.7639,-4.1327
1700,8.4950,-4.0626,4.5586,3.1981,3.2275,-5.7888,-4.1151
1701,8.5000,-4.1588,4.5129,3.2266,3.2512,-5.7848,-3.9593
1702,8.5050,-4.2164,4.4257,3.2141,3.2733,-5.7663,-3.9151
1703,8.5100,-4.2615,4.3375,3.2416,3.2652,-5.7603,-3.7493
1704,8.5150,-4.3377,4.2313,3.2407,3.2976,-5.7287,-3.7394
1705,8.5200,-4.3821,4.1193,3.2353,3.2678,-5.7028,-3.6079
1706,8.5250,-4.4404,4.0253,3.2400,3.2759,-5.6864,-3.5200
1707,8.5300,-4.4847,3.9528,3.2585,3.3071,-5.6434,-3.4301
1708,8.5350,-4.5684,3.8693,3.2475,3.2665,-5.6249,-3.3303
1709,8.5400,-4.6030,3.7747,3.2719,3.2652,-5.6047,-3.2444
1710,8.5450,-4.6633,3.6706,3.2632,3.2847,-5.5668,-3.1068
1711,8.5500,-4.7005,3.6077,3.2303,3.2834,-5.5057,-3.0442
1712,8.5550,-4.7317,3.5144,3.2600,3.2720,-5.4909,-2.8877
1713,8.5600,-4.7561,3.4413,3.2419,3.2730,-5.4550,-2.8412
1714,8.5650,-4.8309,3.3390,3.2722,3.2661,-5.3999,-2.6587
1715,8.5700,-4.8709,3.2613,3.2653,3.3103,-5.3525,-2.5920
1716,8.5750,-4.9116,3.1462,3.2582,3.3194,-5.3079,-2.4382
1717,8.5800,-4.9366,3.0541,3.2825,3.2885,-5.2326,-2.3480
1718,8.5850,-4.9681,2.9463,3.2775,3.2804,-5.1779,-2.2628
1719,8.5900,-4.9630,2.8576,3.2829,3.3324,-5.1121,-2.1324
1720,8.5950,-5.0193,2.7305,3.2832,3.3162,-5.0708,-2.0601
1721,8.6000,-5.0515,2.6473,3.2985,3.2619,-5.0059,-1.8853
1722,8.6050,-5.0958,2.5239,3.2725,3.2756,-4.9237,-1.7927
1723,8.6100,-5.0928,2.4434,3.2957,3.2973,-4.8743,-1.6474
1724,8.6150,-5.1385,2.3252,3.2794,3.2931,-4.7960,-1.5277
1725,8.6200,-5.1663,2.1711,3.2829,3.2749,-4.7161,-1.3854
1726,8.6250,-5.1812,2.0499,3.2907,3.2921,-4.6328,-1.2805
1727,8.6300,-5.1995,1.9074,3.3091,3.2779,-4.5119,-1.1739
1728,8.6350,-5.1849,1.8039,3.2979,3.2834,-4.4501,-0.9683
1729,8.6400,-5.2388,1.6713,3.3188,3.2973,-4.3753,-0.8655
1730,8.6450,-5.2232,1.5463,3.3151,3.2837,-4.2540,-0.6415
1731,8.6500,-5.2733,1.4389,3.2907,3.2983,-4.1805,-0.5334
1732,8.6550,-5.2845,1.2642,3.2982,3.2885,-4.0663,-0.3819
1733,8.6600,-5.2916,1.1205,3.3082,3.3058,-4.0072,-0.2458
1734,8.6650,-5.2899,1.0149,3.2923,3.2960,-3.9202,-0.0571
1735,8.6700,-5.3414,0.8863,3.3057,3.3201,-3.8097,0.0591
1736,8.6750,-5.3309,0.7331,3.3170,3.3227,-3.6958,0.2381
1737,8.6800,-5.3533,0.5977,3.3157,3.3171,-3.6186,0.3643
1738,8.6850,-5.3346,0.4448,3.3126,3.3119,-3.5105,0.4841
1739,8.6900,-5.3546,0.3454,3.3091,3.3064,-3.3986,0.6947
1740,8.6950,-5.3679,0.2026,3.3248,3.3149,-3.3012,0.8010
1741,8.7000,-5.3810,0.0654,3.3207,3.2788,-3.1904,0.9820
1742,8.7050,-5.3831,-0.0682,3.3026,3.2928,-3.0719,1.0819
1743,8.7100,-5.3604,-0.1372,3.3104,3.2924,-2.9614,1.3063
1744,8.7150,-5.3546,-0.2426,3.3054,3.2996,-2.8438,1.3757
1745,8.7200,-5.3550,-0.3948,3.2951,3.2869,-2.7206,1.5775
1746,8.7250,-5.3113,-0.5185,3.2991,3.2983,-2.6185,1.6729
1747,8.7300,-5.3177,-0.5944,3.3257,3.3032,-2.4922,1.8469
1748,8.7350,-5.3069,-0.7211,3.2947,3.3025,-2.3706,1.9518
1749,8.7400,-5.2784,-0.8569,3.2851,3.2603,-2.2675,2.0804
1750,8.7450,-5.2720,-0.9459,3.2945,3.2652,-2.1507,2.2336
1751,8.7500,-5.2259,-1.0782,3.2729,3.2639,-2.0351,2.3595
1752,8.7550,-5.2225,-1.1930,3.2835,3.2496,-1.9001,2.5385
1753,8.7600,-5.1812,-1.3081,3.2625,3.2713,-1.7695,2.6226
1754,8.7650,-5.1676,-1.4072,3.2797,3.2489,-1.6214,2.8214
1755,8.7700,-5.1189,-1.5067,3.2347,3.2749,-1.4632,2.8738
1756,8.7750,-5.0918,-1.6476,3.2488,3.2713,-1.3433,3.0417
1757,8.7800,-5.0853,-1.7514,3.2553,3.2583,-1.2288,3.1015
1758,8.7850,-5.0447,-1.8748,3.2572,3.2749,-1.1119,3.2072
1759,8.7900,-4.9996,-1.9733,3.2463,3.2648,-1.0031,3.3129
1760,8.7950,-4.9512,-2.0611,3.2472,3.2775,-0.8580,3.3914
1761,8.8000,-4.9326,-2.1289,3.2203,3.2730,-0.7126,3.4816
1762,8.8050,-4.8540,-2.2287,3.2241,3.2583,-0.5622,3.5232
1763,8.8100,-4.8154,-2.3276,3.2250,3.2557,-0.3533,3.6427
1764,8.8150,-4.7737,-2.4768,3.2112,3.2297,-0.2136,3.6477
1765,8.8200,-4.6971,-2.5624,3.2053,3.2574,-0.1175,3.7248
1766,8.8250,-4.6385,-2.6223,3.1969,3.2655,0.0396,3.7221
1767,8.8300,-4.6026,-2.7266,3.1740,3.2466,0.1723,3.8094
1768,8.8350,-4.5376,-2.8193,3.1869,3.2570,0.2714,3.8088
1769,8.8400,-4.4661,-2.9071,3.1759,3.2349,0.4077,3.8481
1770,8.8450,-4.3865,-2.9790,3.1634,3.2255,0.5471,3.8733
1771,8.8500,-4.3398,-3.0542,3.1565,3.2359,0.6868,3.9380
1772,8.8550,-4.2541,-3.1643,3.1709,3.1960,0.8017,3.9585
1773,8.8600,-4.1724,-3.2267,3.1409,3.1950,0.9618,3.9617
1774,8.8650,-4.0806,-3.2951,3.1324,3.1937,1.1106,4.0361
1775,8.8700,-4.0020,-3.3765,3.1162,3.1729,1.2510,4.0188
1776,8.8750,-3.8933,-3.4864,3.1005,3.1697,1.3571,4.0569
1777,8.8800,-3.8279,-3.5579,3.0824,3.1271,1.4830,4.0385
1778,8.8850,-3.7361,-3.6340,3.0793,3.1446,1.5935,4.1225
1779,8.8900,-3.6169,-3.7009,3.0627,3.1430,1.7208,4.1126
1780,8.8950,-3.5193,-3.7657,3.0430,3.1099,1.8377,4.1527
1781,8.9000,-3.4258,-3.8556,3.0030,3.0949,1.9898,4.1621
1782,8.9050,-3.3347,-3.9164,3.0017,3.1170,2.1003,4.1879
1783,8.9100,-3.2585,-3.9833,2.9880,3.1046,2.2041,4.2230
1784,8.9150,-3.1850,-4.0548,2.9382,3.0991,2.3132,4.2101
1785,8.9200,-3.0854,-4.0736,2.9279,3.0829,2.4065,4.2461
1786,8.9250,-3.0037,-4.1313,2.9213,3.0962,2.5325,4.2066
1787,8.9300,-2.9204,-4.1932,2.8829,3.0835,2.6262,4.2942
1788,8.9350,-2.8631,-4.2676,2.8572,3.0823,2.7071,4.2496
1789,8.9400,-2.7520,-4.3121,2.8256,3.0293,2.7652,4.2918
1790,8.9450,-2.6331,-4.3937,2.7994,3.0595,2.8707,4.2348
1791,8.9500,-2.5217,-4.4005,2.7853,3.0329,2.9630,4.3237
1792,8.9550,-2.4397,-4.4972,2.7281,3.0114,3.0292,4.2960
1793,8.9600,-2.2907,-4.5684,2.6765,2.9764,3.1114,4.3291
1794,8.9650,-2.1978,-4.6105,2.6874,2.9686,3.1796,4.3466
1795,8.9700,-2.0840,-4.6414,2.6424,2.9399,3.2441,4.3548
1796,8.9750,-1.9705,-4.6995,2.6139,2.9396,3.3056,4.3589
1797,8.9800,-1.8750,-4.7866,2.5811,2.9266,3.3496,4.3176
1798,8.9850,-1.7459,-4.8379,2.5358,2.9039,3.3767,4.3709
1799,8.9900,-1.6728,-4.8591,2.5023,2.8672,3.4436,4.3563
1800,8.9950,-1.5938,-4.9208,2.4610,2.8168,3.5097,4.4181
1801,9.0000,-1.5210,-4.9862,2.4235,2.7970,3.5594,4.3537
1802,9.0050,-1.4200,-5.0137,2.3684,2.8210,3.5705,4.4292
1803,9.0100,-1.2710,-5.0518,2.3115,2.7814,3.6283,4.3894
1804,9.0150,-1.1636,-5.0939,2.2790,2.7350,3.6545,4.4216
1805,9.0200,-1.0450,-5.1550,2.2205,2.7054,3.6864,4.3788
1806,9.0250,-0.9363,-5.1666,2.1730,2.6843,3.6931,4.4239
1807,9.0300,-0.7896,-5.1924,2.1136,2.6697,3.7344,4.4269
1808,9.0350,-0.6860,-5.2578,2.0685,2.6320,3.7512,4.4198
1809,9.0400,-0.5867,-5.2710,1.9819,2.5813,3.7620,4.4362
1810,9.0450,-0.4543,-5.2876,1.9219,2.5670,3.7865,4.3964
1811,9.0500,-0.3184,-5.2925,1.8571,2.5046,3.8207,4.4547
1812,9.0550,-0.1931,-5.3456,1.7458,2.4422,3.8318,4.3665
1813,9.0600,-0.1172,-5.3818,1.6848,2.4114,3.8449,4.4410
1814,9.0650,0.0328,-5.3901,1.6003,2.3519,3.8805,4.4073
1815,9.0700,0.1904,-5.3741,1.5069,2.3087,3.9020,4.4383
1816,9.0750,0.2815,-5.3944,1.4240,2.2392,3.9134,4.4037
1817,9.0800,0.3991,-5.3947,1.3258,2.1541,3.9312,4.4430
1818,9.0850,0.5539,-5.4321,1.2573,2.1066,3.9101,4.4412
1819,9.0900,0.6755,-5.3889,1.1519,2.0446,3.9473,4.4196
1820,9.0950,0.8150,-5.4248,1.0684,1.9816,3.9557,4.4544
1821,9.1000,0.9014,-5.4407,0.9824,1.8825,3.9523,4.4102
1822,9.1050,1.0484,-5.4613,0.8782,1.7987,3.9809,4.4448
1823,9.1100,1.1389,-5.4548,0.7810,1.6973,3.9772,4.4201
1824,9.1150,1.2663,-5.4334,0.6684,1.5609,3.9953,4.4491
1825,9.1200,1.3692,-5.4355,0.5604,1.4647,4.0125,4.4418
1826,9.1250,1.5017,-5.4266,0.4732,1.3747,4.0289,4.4201
1827,9.1300,1.6033,-5.4097,0.3518,1.2760,4.0494,4.4664
1828,9.1350,1.7327,-5.4159,0.2214,1.1730,4.0504,4.4368
1829,9.1400,1.7947,-5.4214,0.0844,1.0720,4.0615,4.4667
1830,9.1450,1.9227,-5.3796,-0.0309,0.9534,4.0790,4.3917
1831,9.1500,2.0149,-5.3858,-0.1486,0.8508,4.0706,4.4834
1832,9.1550,2.0904,-5.3910,-0.2927,0.7150,4.0776,4.4228
1833,9.1600,2.1758,-5.3833,-0.4485,0.6061,4.0873,4.4485
1834,9.1650,2.2717,-5.3695,-0.5824,0.4944,4.0981,4.4028
1835,9.1700,2.3096,-5.3290,-0.7218,0.3615,4.1146,4.4473
1836,9.1750,2.3604,-5.2909,-0.8660,0.2264,4.1230,4.4307
1837,9.1800,2.4089,-5.2842,-1.0268,0.0945,4.1001,4.4254
1838,9.1850,2.4641,-5.2639,-1.1829,-0.0149,4.1317,4.4389
1839,9.1900,2.5623,-5.1860,-1.3292,-0.1488,4.1334,4.3970
1840,9.1950,2.6040,-5.1648,-1.4903,-0.2813,4.1360,4.4333
1841,9.2000,2.6687,-5.1101,-1.6630,-0.3914,4.1320,4.3747
1842,9.2050,2.7266,-5.0877,-1.8118,-0.5052,4.1297,4.4312
1843,9.2100,2.7547,-5.0528,-1.9548,-0.6234,4.1508,4.3832
1844,9.2150,2.8367,-5.0454,-2.1155,-0.7618,4.1367,4.4116
1845,9.2200,2.8953,-4.9689,-2.2641,-0.8647,4.1495,4.3434
1846,9.2250,2.9454,-4.8937,-2.3958,-0.9794,4.1421,4.4090
1847,9.2300,2.9902,-4.8170,-2.5344,-1.1113,4.1528,4.3902
1848,9.2350,3.0308,-4.8017,-2.6761,-1.2321,4.1505,4.3888
1849,9.2400,3.0522,-4.7261,-2.8087,-1.3653,4.1555,4.3888
1850,9.2450,3.0911,-4.6869,-2.9657,-1.4676,4.1525,4.3639
1851,9.2500,3.1416,-4.6015,-3.0667,-1.5693,4.1676,4.3607
1852,9.2550,3.1494,-4.5500,-3.1916,-1.7187,4.1474,4.3308
1853,9.2600,3.1880,-4.4809,-3.3395,-1.8242,4.1424,4.3565
1854,9.2650,3.2310,-4.4358,-3.4605,-1.9181,4.1716,4.2971
1855,9.2700,3.2476,-4.3207,-3.5628,-2.0221,4.1810,4.3375
1856,9.2750,3.2618,-4.2777,-3.6986,-2.1332,4.1521,4.2617
1857,9.2800,3.3015,-4.2249,-3.8256,-2.2329,4.1740,4.2854
1858,9.2850,3.3282,-4.1706,-3.9635,-2.3479,4.1595,4.2760
1859,9.2900,3.3377,-4.0806,-4.0602,-2.4356,4.1612,4.2693
1860,9.2950,3.3306,-4.0515,-4.1856,-2.5424,4.1669,4.2810
1861,9.3000,3.3571,-3.9573,-4.3126,-2.6681,4.1370,4.2157
1862,9.3050,3.3496,-3.8974,-4.4465,-2.7568,4.1478,4.2628
1863,9.3100,3.3862,-3.7942,-4.5394,-2.8224,4.1559,4.2496
1864,9.3150,3.3855,-3.7424,-4.6536,-2.9562,4.1730,4.2333
1865,9.3200,3.4038,-3.6395,-4.7365,-3.0501,4.1703,4.2476
1866,9.3250,3.4299,-3.5477,-4.8100,-3.1258,4.1599,4.2242
1867,9.3300,3.4438,-3.4600,-4.8888,-3.1803,4.1736,4.2306
1868,9.3350,3.4580,-3.3851,-4.9983,-3.2706,4.1696,4.1759
1869,9.3400,3.4532,-3.2583,-5.0658,-3.2862,4.1518,4.2218
1870,9.3450,3.4434,-3.2135,-5.1828,-3.3804,4.1669,4.1571
1871,9.3500,3.4871,-3.1119,-5.2244,-3.4311,4.1676,4.1978
1872,9.3550,3.4895,-3.0017,-5.3017,-3.5100,4.1528,4.1436
1873,9.3600,3.4885,-2.9298,-5.3865,-3.5912,4.1552,4.1363
1874,9.3650,3.5210,-2.8362,-5.4544,-3.6604,4.1575,4.1389
1875,9.3700,3.5071,-2.7131,-5.5388,-3.7523,4.1821,4.1178
1876,9.3750,3.4993,-2.6625,-5.6186,-3.8461,4.1461,4.0965
1877,9.3800,3.5244,-2.5553,-5.6974,-3.9306,4.1384,4.0862
1878,9.3850,3.5359,-2.4298,-5.7687,-4.0001,4.1172,4.0592
1879,9.3900,3.5329,-2.3082,-5.8163,-4.0501,4.1394,4.0426
1880,9.3950,3.5220,-2.1818,-5.8895,-4.1290,4.1179,4.0534
1881,9.4000,3.5186,-2.1001,-5.9471,-4.2138,4.1035,3.9881
1882,9.4050,3.5461,-1.9690,-5.9874,-4.2521,4.1132,4.0241
1883,9.4100,3.5701,-1.8634,-6.0362,-4.3174,4.1196,3.9321
1884,9.4150,3.5390,-1.7655,-6.0953,-4.3658,4.1186,3.9840
1885,9.4200,3.5413,-1.6016,-6.1485,-4.4321,4.1196,3.8932
1886,9.4250,3.5576,-1.4862,-6.2017,-4.4814,4.1011,3.9195
1887,9.4300,3.5305,-1.3188,-6.2161,-4.5224,4.0920,3.8536
1888,9.4350,3.5715,-1.2390,-6.2746,-4.5811,4.1088,3.8305
1889,9.4400,3.5616,-1.1209,-6.3300,-4.6188,4.1065,3.7939
1890,9.4450,3.5718,-1.0026,-6.3662,-4.6389,4.1125,3.7634
1891,9.4500,3.5938,-0.8467,-6.3885,-4.6877,4.1071,3.7368
1892,9.4550,3.5820,-0.6880,-6.4301,-4.7478,4.0836,3.6922
1893,9.4600,3.5847,-0.5584,-6.4517,-4.7799,4.0746,3.6917
1894,9.4650,3.5657,-0.4577,-6.4855,-4.8280,4.0904,3.5751
1895,9.4700,3.5732,-0.3064,-6.4958,-4.8370,4.0904,3.5947
1896,9.4750,3.5789,-0.1962,-6.5199,-4.8578,4.0766,3.4611
1897,9.4800,3.5813,-0.1078,-6.5483,-4.9059,4.0423,3.4365
1898,9.4850,3.5915,0.0328,-6.5646,-4.9322,4.0397,3.3835
1899,9.4900,3.6020,0.2284,-6.5687,-4.9361,4.0635,3.3340
1900,9.4950,3.5830,0.3770,-6.5849,-4.9780,4.0437,3.3191
1901,9.5000,3.5986,0.5387,-6.5965,-4.9709,4.0125,3.1928
1902,9.5050,3.5908,0.7211,-6.5934,-4.9933,4.0057,3.1463
1903,9.5100,3.5989,0.9342,-6.5759,-4.9936,4.0010,3.0282
1904,9.5150,3.6020,1.0640,-6.5743,-4.9803,3.9779,3.0150
1905,9.5200,3.5942,1.2215,-6.5702,-4.9985,3.9684,2.8738
1906,9.5250,3.6003,1.3698,-6.5486,-5.0095,3.9537,2.8328
1907,9.5300,3.6155,1.5602,-6.5292,-4.9878,3.9362,2.7329
1908,9.5350,3.6108,1.6762,-6.4976,-4.9878,3.9278,2.6079
1909,9.5400,3.6111,1.8088,-6.4798,-4.9715,3.9319,2.5452
1910,9.5450,3.5661,1.9083,-6.4426,-4.9481,3.9020,2.3988
1911,9.5500,3.5976,2.0799,-6.4175,-4.9270,3.8879,2.3622
1912,9.5550,3.5711,2.1972,-6.3672,-4.9066,3.8650,2.1835
1913,9.5600,3.5820,2.3357,-6.3334,-4.8806,3.8529,2.1328
1914,9.5650,3.5898,2.4655,-6.2734,-4.8234,3.8150,1.9714
1915,9.5700,3.5908,2.6077,-6.2214,-4.7906,3.8207,1.9131
1916,9.5750,3.5952,2.7176,-6.1726,-4.7546,3.7955,1.8077
1917,9.5800,3.5634,2.8368,-6.1047,-4.7263,3.7703,1.7090
1918,9.5850,3.5854,2.9034,-6.0431,-4.6714,3.7656,1.5608
1919,9.5900,3.5871,3.0087,-5.9580,-4.5993,3.7764,1.5171
1920,9.5950,3.5969,3.0925,-5.9023,-4.5431,3.7287,1.3326
1921,9.6000,3.5789,3.1825,-5.8401,-4.5084,3.7367,1.2582
1922,9.6050,3.5857,3.3111,-5.7866,-4.4347,3.7179,1.1115
1923,9.6100,3.5796,3.4382,-5.7121,-4.3970,3.6951,1.0403
1924,9.6150,3.5728,3.4849,-5.6496,-4.3304,3.6568,0.8781
1925,9.6200,3.5745,3.5800,-5.5654,-4.2791,3.6068,0.7855
1926,9.6250,3.5634,3.6633,-5.4922,-4.2057,3.5651,0.6379
1927,9.6300,3.5725,3.7747,-5.3968,-4.1225,3.5306,0.5808
1928,9.6350,3.5552,3.8364,-5.3255,-4.0728,3.5104,0.4331
1929,9.6400,3.5274,3.9255,-5.2504,-4.0310,3.4604,0.3775
1930,9.6450,3.5288,4.0115,-5.1569,-3.9345,3.4412,0.1745
1931,9.6500,3.5549,4.1223,-5.0890,-3.8432,3.4016,0.1663
1932,9.6550,3.5461,4.2083,-5.0167,-3.7610,3.3449,-0.0299
1933,9.6600,3.5410,4.3093,-4.9398,-3.6493,3.2710,-0.0999
1934,9.6650,3.5332,4.3953,-4.8453,-3.5590,3.2461,-0.2706
1935,9.6700,3.5159,4.5113,-4.7509,-3.5035,3.2095,-0.3266
1936,9.6750,3.5105,4.5662,-4.6661,-3.4382,3.1054,-0.5044
1937,9.6800,3.4959,4.6473,-4.5488,-3.3706,3.0634,-0.5600
1938,9.6850,3.4797,4.6980,-4.4471,-3.2732,2.9747,-0.7290
1939,9.6900,3.4929,4.7950,-4.2785,-3.1586,2.9167,-0.7794
1940,9.6950,3.4756,4.8337,-4.1718,-3.0933,2.8287,-0.9416
1941,9.7000,3.4631,4.9074,-4.0836,-3.0355,2.7625,-1.0351
1942,9.7050,3.4512,4.9860,-3.9498,-2.9250,2.6964,-1.1546
1943,9.7100,3.4671,5.1018,-3.8162,-2.7922,2.5859,-1.2117
1944,9.7150,3.4380,5.1030,-3.6651,-2.6694,2.5137,-1.3616
1945,9.7200,3.4505,5.1788,-3.5512,-2.5600,2.4334,-1.4811
1946,9.7250,3.4082,5.2387,-3.4155,-2.4658,2.3475,-1.5997
1947,9.7300,3.4150,5.3246,-3.3282,-2.3527,2.2487,-1.6987
1948,9.7350,3.4122,5.3796,-3.2084,-2.2790,2.1591,-1.7977
1949,9.7400,3.3862,5.4257,-3.0989,-2.1647,2.0519,-1.8958
1950,9.7450,3.3676,5.4635,-2.9538,-2.0393,1.9579,-1.9732
1951,9.7500,3.3676,5.5387,-2.8246,-1.9301,1.8659,-2.0712
1952,9.7550,3.3387,5.5835,-2.7061,-1.8373,1.7554,-2.1782
1953,9.7600,3.3201,5.6115,-2.5819,-1.7206,1.6369,-2.2607
1954,9.7650,3.3191,5.6689,-2.4330,-1.5810,1.5082,-2.3161
1955,9.7700,3.3144,5.7570,-2.2879,-1.4709,1.4612,-2.4253
1956,9.7750,3.2761,5.7705,-2.1581,-1.3666,1.3145,-2.5331
1957,9.7800,3.2686,5.8067,-2.0280,-1.2886,1.2218,-2.6312
1958,9.7850,3.2527,5.8464,-1.8753,-1.1181,1.1234,-2.6807
1959,9.7900,3.2537,5.9173,-1.7321,-0.9927,1.0079,-2.8163
1960,9.7950,3.2280,5.8596,-1.5801,-0.8618,0.8896,-2.8769
1961,9.8000,3.1839,5.9188,-1.4243,-0.7280,0.7926,-3.0190
1962,9.8050,3.1487,5.9572,-1.2998,-0.5932,0.6868,-3.0409
1963,9.8100,3.1131,5.9980,-1.1472,-0.5136,0.5827,-3.1739
1964,9.8150,3.0945,6.0423,-0.9846,-0.3817,0.4618,-3.2204
1965,9.8200,3.0508,6.0840,-0.8482,-0.2713,0.3365,-3.3671
1966,9.8250,3.0186,6.0929,-0.6871,-0.1530,0.2368,-3.4058
1967,9.8300,2.9641,6.1371,-0.5251,0.0175,0.1434,-3.4890
1968,9.8350,2.9160,6.1801,-0.4075,0.1101,0.0349,-3.5795
1969,9.8400,2.8655,6.2290,-0.2837,0.2293,-0.0803,-3.6474
1970,9.8450,2.8100,6.2523,-0.1464,0.3385,-0.1944,-3.7408
1971,9.8500,2.7625,6.2846,-0.0228,0.5282,-0.3076,-3.7745
1972,9.8550,2.7219,6.2775,0.0810,0.6474,-0.3983,-3.8685
1973,9.8600,2.6609,6.3444,0.1968,0.7539,-0.4749,-3.9242
1974,9.8650,2.6392,6.3530,0.3281,0.8446,-0.5632,-4.0246
1975,9.8700,2.5721,6.3932,0.4391,0.9768,-0.6438,-4.0814
1976,9.8750,2.4759,6.4332,0.5439,1.0671,-0.7529,-4.1707
1977,9.8800,2.4417,6.4783,0.6480,1.1551,-0.8634,-4.1827
1978,9.8850,2.3716,6.4927,0.7547,1.2555,-0.9504,-4.3274
1979,9.8900,2.3018,6.4891,0.8585,1.3504,-1.0323,-4.2981
1980,9.8950,2.2253,6.5013,0.9101,1.4261,-1.1442,-4.4548
1981,9.9000,2.1653,6.5283,1.0174,1.5239,-1.2261,-4.4285
1982,9.9050,2.0843,6.5272,1.1096,1.6086,-1.3074,-4.5471
1983,9.9100,2.0047,6.5680,1.1731,1.7126,-1.4152,-4.5635
1984,9.9150,1.9119,6.5729,1.2538,1.8078,-1.4834,-4.6551
1985,9.9200,1.8526,6.5928,1.3502,1.8783,-1.5693,-4.6967
1986,9.9250,1.7527,6.5879,1.4340,1.9774,-1.6368,-4.7713
1987,9.9300,1.6768,6.6165,1.5300,2.0569,-1.7017,-4.8010
1988,9.9350,1.5813,6.6045,1.6225,2.1775,-1.7880,-4.8791
1989,9.9400,1.4543,6.6410,1.6979,2.2269,-1.8843,-4.9641
1990,9.9450,1.3662,6.6760,1.7692,2.2967,-1.9696,-4.9992
1991,9.9500,1.2734,6.6914,1.8427,2.3289,-2.0382,-5.0144
1992,9.9550,1.1887,6.6493,1.8978,2.3731,-2.1493,-5.0762
1993,9.9600,1.1165,6.6410,1.9544,2.4263,-2.2350,-5.1222
1994,9.9650,1.0074,6.6766,2.0122,2.4786,-2.3219,-5.1506
1995,9.9700,0.8892,6.7179,2.0982,2.5254,-2.3948,-5.2174
1996,9.9750,0.7961,6.6693,2.1502,2.6027,-2.4855,-5.2414
1997,9.9800,0.6700,6.6908,2.1889,2.6222,-2.5547,-5.3079
1998,9.9850,0.5932,6.6487,2.2524,2.6433,-2.6326,-5.3266
1999,9.9900,0.4766,6.6991,2.3100,2.6797,-2.7125,-5.3512
2000,9.9950,0.3669,6.6972,2.3591,2.6989,-2.7941,-5.3787
2001,10.0000,0.2588,6.6595,2.3875,2.7408,-2.8646,-5.4467
2002,10.0050,0.1406,6.6831,2.4329,2.7395,-2.9674,-5.4262
2003,10.0100,0.0359,6.6889,2.4916,2.7980,-3.0282,-5.4888
2004,10.0150,-0.0813,6.6717,2.4941,2.8103,-3.0923,-5.4830
2005,10.0200,-0.1995,6.6834,2.5229,2.8633,-3.1672,-5.5448
2006,10.0250,-0.3113,6.6613,2.5723,2.9013,-3.2344,-5.5295
2007,10.0300,-0.4055,6.6920,2.5973,2.9221,-3.2898,-5.5954
2008,10.0350,-0.5105,6.6567,2.6355,2.9075,-3.3597,-5.5635
2009,10.0400,-0.6267,6.6604,2.6690,2.9250,-3.4285,-5.6297
2010,10.0450,-0.7260,6.6413,2.6937,2.9640,-3.5078,-5.6133
2011,10.0500,-0.7859,6.6287,2.7334,3.0000,-3.5357,-5.6426
2012,10.0550,-0.8835,6.6223,2.7684,3.0264,-3.6116,-5.6464
2013,10.0600,-0.9746,6.6030,2.8081,3.0530,-3.6740,-5.6859
2014,10.0650,-1.0515,6.5790,2.8172,3.0429,-3.7241,-5.6508
2015,10.0700,-1.1619,6.5858,2.8485,3.0530,-3.7637,-5.6827
2016,10.0750,-1.2886,6.5492,2.8544,3.0894,-3.8403,-5.6417
2017,10.0800,-1.3923,6.5293,2.8841,3.1057,-3.9068,-5.6411
