开始时间：,,2025-10-21 16.33.24.134,2025-10-21 16.33.24.134,2025-10-21 16.33.24.134,2025-10-21 16.33.24.134,2025-10-21 16.33.24.134,2025-10-21 16.33.24.134
结束时间：,,2025-10-21 16.35.54.129,2025-10-21 16.35.54.129,2025-10-21 16.35.54.129,2025-10-21 16.35.54.129,2025-10-21 16.35.54.129,2025-10-21 16.35.54.129
采样频率：,,200Hz,200Hz,200Hz,200Hz,200Hz,200Hz
数据长度：,,30000,30000,30000,30000,30000,30000
序列号:,,201119103,201119084,201119085,201119088,201119101,201119105
测点标签:,,1,9084,9085,9088,9101,9105
序号：,相对时间,波高(mm),波高(mm),波高(mm),波高(mm),波高(mm),波高(mm)
73,0.3600,2.1524,-5.7477,0.0619,1.2912,2.4227,4.2271
74,0.3650,2.2154,-5.7292,-0.0688,1.1697,2.4516,4.2757
75,0.3700,2.2961,-5.7123,-0.2045,1.0700,2.4586,4.2174
76,0.3750,2.3540,-5.7207,-0.3678,0.9518,2.4589,4.2471
77,0.3800,2.4001,-5.6611,-0.5066,0.8322,2.4731,4.2297
78,0.3850,2.4312,-5.6400,-0.6477,0.6929,2.4757,4.2754
79,0.3900,2.4881,-5.6218,-0.8138,0.5844,2.4902,4.2350
80,0.3950,2.5356,-5.6304,-0.9943,0.4671,2.4949,4.1920
81,0.4000,2.5572,-5.6231,-1.1475,0.2982,2.4996,4.1680
82,0.4050,2.6155,-5.6163,-1.2995,0.1676,2.4986,4.1922
83,0.4100,2.6389,-5.5574,-1.4850,0.0175,2.5258,4.1887
84,0.4150,2.6914,-5.5392,-1.6533,-0.1261,2.5295,4.1767
85,0.4200,2.7066,-5.5098,-1.8084,-0.2355,2.5261,4.1589
86,0.4250,2.7469,-5.4800,-1.9729,-0.4064,2.5352,4.1296
87,0.4300,2.7842,-5.4711,-2.1559,-0.4977,2.5550,4.1837
88,0.4350,2.8106,-5.4343,-2.3342,-0.6536,2.5412,4.1407
89,0.4400,2.8398,-5.3713,-2.4765,-0.7988,2.5959,4.1260
90,0.4450,2.8780,-5.3247,-2.6789,-0.9307,2.5950,4.1583
91,0.4500,2.9085,-5.2771,-2.7746,-1.0353,2.6165,4.1284
92,0.4550,2.9492,-5.2528,-2.9244,-1.1545,2.6396,4.1840
93,0.4600,2.9709,-5.1850,-3.0930,-1.2971,2.6527,4.1340
94,0.4650,2.9733,-5.1731,-3.2444,-1.4075,2.7017,4.1530
95,0.4700,3.0152,-5.1058,-3.3648,-1.5147,2.7575,4.1521
96,0.4750,3.0457,-5.0807,-3.5162,-1.6407,2.7699,4.1395
97,0.4800,3.0735,-5.0272,-3.6664,-1.7707,2.8310,4.1498
98,0.4850,3.1010,-4.9585,-3.7999,-1.8291,2.8727,4.1052
99,0.4900,3.1006,-4.8717,-3.9291,-1.9409,2.9375,4.1624
100,0.4950,3.1003,-4.7682,-4.0527,-2.0321,2.9553,4.1023
101,0.5000,3.1253,-4.7253,-4.1884,-2.1799,3.0413,4.1143
102,0.5050,3.1369,-4.6777,-4.2904,-2.2842,3.1034,4.1530
103,0.5100,3.1711,-4.5837,-4.3958,-2.3732,3.1786,4.1037
104,0.5150,3.1772,-4.5442,-4.5225,-2.4836,3.1947,4.1392
105,0.5200,3.1653,-4.4486,-4.6351,-2.5898,3.2518,4.1105
106,0.5250,3.1775,-4.3526,-4.7177,-2.6866,3.3113,4.1143
107,0.5300,3.2215,-4.2559,-4.7993,-2.7896,3.3412,4.1451
108,0.5350,3.2009,-4.1801,-4.9235,-2.8789,3.3932,4.1140
109,0.5400,3.1934,-4.0908,-5.0145,-2.9452,3.4097,4.1307
110,0.5450,3.2161,-4.0091,-5.1315,-3.0166,3.4678,4.0619
111,0.5500,3.2402,-3.9609,-5.2548,-3.0930,3.5185,4.1140
112,0.5550,3.2321,-3.8826,-5.3192,-3.2268,3.5359,4.0677
113,0.5600,3.2243,-3.7906,-5.4156,-3.3177,3.5806,4.0762
114,0.5650,3.2507,-3.7181,-5.5060,-3.3638,3.5970,4.0616
115,0.5700,3.2727,-3.5923,-5.5745,-3.4645,3.6501,4.0393
116,0.5750,3.2571,-3.5051,-5.6665,-3.5659,3.6531,4.0669
117,0.5800,3.2588,-3.3869,-5.7512,-3.6620,3.6827,3.9895
118,0.5850,3.2863,-3.3240,-5.8141,-3.7572,3.6803,4.0596
119,0.5900,3.2554,-3.1957,-5.8848,-3.8397,3.7139,4.0361
120,0.5950,3.2683,-3.0916,-5.9809,-3.9205,3.7314,4.0343
121,0.6000,3.2869,-3.0026,-6.0381,-4.0066,3.7334,4.0177
122,0.6050,3.2930,-2.9089,-6.0931,-4.0618,3.7620,3.9606
123,0.6100,3.2845,-2.8080,-6.1579,-4.1748,3.7928,3.9963
124,0.6150,3.2994,-2.7242,-6.2026,-4.2330,3.7838,3.9377
125,0.6200,3.3171,-2.6036,-6.2530,-4.3304,3.8090,3.9617
126,0.6250,3.3052,-2.5339,-6.3090,-4.3635,3.8210,3.9154
127,0.6300,3.3255,-2.3754,-6.3425,-4.4434,3.8459,3.9099
128,0.6350,3.3377,-2.2444,-6.4110,-4.5123,3.8314,3.9219
129,0.6400,3.3120,-2.0971,-6.4792,-4.6123,3.8405,3.8744
130,0.6450,3.3100,-1.9757,-6.5155,-4.6844,3.8358,3.9184
131,0.6500,3.3235,-1.8392,-6.5590,-4.6974,3.8738,3.8671
132,0.6550,3.3435,-1.7803,-6.6059,-4.7867,3.8842,3.8762
133,0.6600,3.3255,-1.6320,-6.6365,-4.8358,3.8674,3.8334
134,0.6650,3.3367,-1.4724,-6.6753,-4.8848,3.8687,3.8293
135,0.6700,3.3608,-1.3087,-6.7004,-4.9046,3.8929,3.8223
136,0.6750,3.3540,-1.1985,-6.7288,-4.9709,3.8788,3.7400
137,0.6800,3.3649,-1.0824,-6.7776,-5.0348,3.8838,3.7675
138,0.6850,3.3682,-0.9508,-6.8305,-5.0735,3.8882,3.7133
139,0.6900,3.3764,-0.8157,-6.7954,-5.0910,3.8865,3.7409
140,0.6950,3.3591,-0.6941,-6.8258,-5.1202,3.8711,3.6659
141,0.7000,3.3692,-0.5388,-6.8558,-5.1618,3.8812,3.6536
142,0.7050,3.3303,-0.4077,-6.8665,-5.1963,3.8855,3.6430
143,0.7100,3.3530,-0.2634,-6.8765,-5.2079,3.8838,3.5880
144,0.7150,3.3476,-0.1271,-6.8934,-5.2437,3.8751,3.5947
145,0.7200,3.3540,-0.0000,-6.8893,-5.2576,3.9013,3.5323
146,0.7250,3.3591,0.1188,-6.8940,-5.2814,3.8647,3.5657
147,0.7300,3.3523,0.2809,-6.8962,-5.2641,3.8791,3.5262
148,0.7350,3.3459,0.4546,-6.8774,-5.2917,3.8761,3.4629
149,0.7400,3.3591,0.6198,-6.8821,-5.2920,3.8707,3.4111
150,0.7450,3.3655,0.7991,-6.8608,-5.2791,3.8731,3.3314
151,0.7500,3.3757,1.0091,-6.8245,-5.2625,3.8580,3.3366
152,0.7550,3.3916,1.1534,-6.8133,-5.2745,3.8617,3.2177
153,0.7600,3.3601,1.3032,-6.8267,-5.2976,3.8590,3.1682
154,0.7650,3.3645,1.4644,-6.7357,-5.2748,3.8368,3.1125
155,0.7700,3.3472,1.6381,-6.6775,-5.2476,3.8513,3.0543
156,0.7750,3.3896,1.7649,-6.7072,-5.2307,3.8395,3.0144
157,0.7800,3.3577,1.9221,-6.6065,-5.1729,3.8177,2.8981
158,0.7850,3.3418,2.0759,-6.5449,-5.1511,3.8345,2.8659
159,0.7900,3.3797,2.2881,-6.4867,-5.1118,3.8251,2.7438
160,0.7950,3.3770,2.3913,-6.4413,-5.1001,3.8241,2.6826
161,0.8000,3.3720,2.5294,-6.3960,-5.0534,3.8066,2.5622
162,0.8050,3.3916,2.6722,-6.3146,-4.9861,3.8422,2.4705
163,0.8100,3.3875,2.8110,-6.2887,-4.9368,3.8342,2.4286
164,0.8150,3.3662,2.9252,-6.2339,-4.8871,3.8046,2.2555
165,0.8200,3.4184,3.0277,-6.1629,-4.8461,3.8079,2.2236
166,0.8250,3.4045,3.1275,-6.1188,-4.7961,3.7962,2.0496
167,0.8300,3.3821,3.2168,-6.0371,-4.7205,3.7932,2.0148
168,0.8350,3.3787,3.3176,-5.9611,-4.6620,3.7660,1.8563
169,0.8400,3.3574,3.4809,-5.8739,-4.5821,3.7623,1.7904
170,0.8450,3.3448,3.5844,-5.7778,-4.4837,3.7589,1.7043
171,0.8500,3.3631,3.6611,-5.7015,-4.3934,3.7566,1.5766
172,0.8550,3.3652,3.7400,-5.6289,-4.3327,3.7324,1.5004
173,0.8600,3.3547,3.8097,-5.5482,-4.2771,3.6807,1.3197
174,0.8650,3.3361,3.9485,-5.4544,-4.2021,3.6820,1.2840
175,0.8700,3.3421,4.0520,-5.3637,-4.1128,3.6733,1.1165
176,0.8750,3.3354,4.1772,-5.2917,-4.0605,3.6521,1.0485
177,0.8800,3.3239,4.2875,-5.1907,-3.9761,3.6205,0.9416
178,0.8850,3.3231,4.3627,-5.0868,-3.9215,3.6054,0.8016
179,0.8900,3.2917,4.5085,-5.0124,-3.8137,3.6115,0.7102
180,0.8950,3.3144,4.5881,-4.8932,-3.7373,3.5789,0.5231
181,0.9000,3.3154,4.6642,-4.7940,-3.6857,3.5497,0.4692
182,0.9050,3.2937,4.7603,-4.6923,-3.5460,3.5393,0.2846
183,0.9100,3.3150,4.8297,-4.5854,-3.4658,3.5124,0.2252
184,0.9150,3.3005,4.9188,-4.4931,-3.3489,3.4869,0.1271
185,0.9200,3.2845,5.0192,-4.3842,-3.2430,3.4436,0.0155
186,0.9250,3.3035,5.0898,-4.3301,-3.1319,3.4382,-0.0513
187,0.9300,3.2585,5.1908,-4.1988,-3.0748,3.4251,-0.2391
188,0.9350,3.2554,5.2832,-4.0583,-2.9955,3.3808,-0.2671
189,0.9400,3.2507,5.3486,-3.9323,-2.9182,3.3149,-0.4505
190,0.9450,3.2510,5.4432,-3.8012,-2.8292,3.2804,-0.5103
191,0.9500,3.2449,5.4969,-3.6276,-2.7149,3.2421,-0.6277
192,0.9550,3.2178,5.6081,-3.4999,-2.6411,3.1914,-0.7486
193,0.9600,3.1995,5.6640,-3.3755,-2.5447,3.1195,-0.8535
194,0.9650,3.2114,5.7223,-3.2638,-2.4161,3.0789,-0.9844
195,0.9700,3.2215,5.8138,-3.1140,-2.2855,3.0020,-1.0500
196,0.9750,3.2090,5.8301,-2.9598,-2.1634,2.9150,-1.2178
197,0.9800,3.2165,5.8884,-2.8334,-2.0578,2.8253,-1.2741
198,0.9850,3.1904,5.9145,-2.7180,-1.9746,2.7585,-1.3845
199,0.9900,3.1734,5.9670,-2.5278,-1.9133,2.6779,-1.5151
200,0.9950,3.1287,6.0291,-2.4224,-1.8145,2.5725,-1.5693
201,1.0000,3.1270,6.0779,-2.2745,-1.7320,2.4969,-1.7067
202,1.0050,3.1311,6.1657,-2.1124,-1.6144,2.4240,-1.7397
203,1.0100,3.1237,6.1952,-1.9179,-1.4257,2.3320,-1.8806
204,1.0150,3.1071,6.2388,-1.7850,-1.2760,2.2084,-1.9573
205,1.0200,3.1057,6.2710,-1.6573,-1.1561,2.0909,-1.9998
206,1.0250,3.0711,6.3100,-1.5013,-1.0379,1.9982,-2.1187
207,1.0300,3.0731,6.3656,-1.3580,-0.9018,1.8766,-2.1647
208,1.0350,3.0505,6.3865,-1.1804,-0.8115,1.7487,-2.3064
209,1.0400,3.0278,6.4488,-1.0240,-0.6851,1.6318,-2.3334
210,1.0450,3.0149,6.4863,-0.8538,-0.5565,1.5294,-2.4833
211,1.0500,2.9875,6.5192,-0.7018,-0.4005,1.4273,-2.5457
212,1.0550,2.9299,6.5308,-0.5808,-0.2810,1.2725,-2.6286
213,1.0600,2.9153,6.5173,-0.4663,-0.1511,1.1418,-2.7363
214,1.0650,2.9068,6.5689,-0.3215,-0.0036,1.0062,-2.8309
215,1.0700,2.8865,6.6178,-0.1892,0.1637,0.8759,-2.9619
216,1.0750,2.8421,6.6220,-0.0404,0.2855,0.7308,-2.9744
217,1.0800,2.7988,6.6453,0.0547,0.3836,0.5609,-3.0875
218,1.0850,2.7961,6.6988,0.2071,0.5067,0.4299,-3.1519
219,1.0900,2.7710,6.7277,0.3419,0.6458,0.2892,-3.2272
220,1.0950,2.7188,6.6951,0.4654,0.7679,0.1306,-3.3268
221,1.1000,2.6423,6.7016,0.5789,0.8894,-0.0107,-3.3888
222,1.1050,2.6192,6.7255,0.6981,0.9999,-0.1786,-3.5341
223,1.1100,2.6399,6.7544,0.8007,1.1223,-0.3126,-3.5505
224,1.1150,2.6077,6.7390,0.9304,1.2399,-0.4601,-3.6489
225,1.1200,2.5179,6.7851,1.0168,1.3254,-0.6132,-3.7197
226,1.1250,2.5098,6.7648,1.1068,1.4244,-0.7412,-3.7637
227,1.1300,2.4505,6.8161,1.1897,1.5463,-0.8547,-3.8568
228,1.1350,2.4106,6.7878,1.2695,1.6207,-1.0226,-3.8706
229,1.1400,2.3523,6.7924,1.3527,1.7061,-1.1509,-3.9962
230,1.1450,2.2971,6.8182,1.4424,1.7772,-1.2869,-3.9985
231,1.1500,2.2724,6.8149,1.5228,1.8620,-1.4431,-4.1113
232,1.1550,2.2439,6.8210,1.6119,1.9400,-1.5660,-4.1227
233,1.1600,2.1633,6.8256,1.6376,2.0079,-1.7231,-4.2094
234,1.1650,2.1101,6.8459,1.7533,2.0761,-1.8417,-4.2864
235,1.1700,2.0254,6.8493,1.8193,2.1755,-1.9518,-4.3169
236,1.1750,1.9638,6.7884,1.8655,2.1986,-2.1040,-4.4132
237,1.1800,1.9431,6.8136,1.9359,2.2671,-2.2339,-4.4531
238,1.1850,1.8689,6.8151,1.9406,2.3003,-2.3491,-4.5728
239,1.1900,1.8137,6.8465,2.0254,2.3792,-2.4778,-4.5716
240,1.1950,1.7422,6.7933,2.0945,2.3990,-2.6017,-4.6744
241,1.2000,1.6795,6.7955,2.1358,2.4156,-2.7146,-4.7093
242,1.2050,1.5905,6.7918,2.1955,2.4497,-2.8052,-4.7775
243,1.2100,1.5542,6.7344,2.2102,2.4770,-2.9285,-4.8276
244,1.2150,1.4692,6.7663,2.3043,2.5176,-3.0155,-4.8381
245,1.2200,1.3784,6.7737,2.3459,2.5660,-3.1199,-4.9210
246,1.2250,1.3055,6.7264,2.4010,2.5813,-3.2193,-4.9169
247,1.2300,1.2117,6.7433,2.4375,2.5930,-3.3033,-5.0188
248,1.2350,1.1420,6.7331,2.4892,2.6018,-3.4436,-5.0414
249,1.2400,1.0820,6.7347,2.5061,2.6284,-3.5454,-5.0923
250,1.2450,0.9858,6.6896,2.5254,2.6456,-3.6555,-5.1260
251,1.2500,0.9170,6.6834,2.5877,2.6927,-3.7371,-5.1603
252,1.2550,0.8377,6.6490,2.6102,2.6752,-3.8554,-5.2370
253,1.2600,0.7527,6.6245,2.6502,2.6820,-3.9601,-5.2291
254,1.2650,0.6606,6.5919,2.6671,2.7278,-4.0277,-5.3234
255,1.2700,0.5471,6.6306,2.7143,2.7674,-4.1398,-5.2911
256,1.2750,0.4471,6.5858,2.7037,2.7606,-4.2268,-5.3869
257,1.2800,0.3621,6.5382,2.7306,2.7700,-4.3141,-5.3957
258,1.2850,0.2601,6.5026,2.7581,2.8028,-4.4199,-5.4382
259,1.2900,0.1985,6.4989,2.7687,2.8311,-4.5022,-5.4686
260,1.2950,0.0739,6.4497,2.7978,2.8542,-4.5804,-5.4616
261,1.3000,-0.0132,6.4148,2.8263,2.8483,-4.6782,-5.5474
262,1.3050,-0.0999,6.3978,2.8407,2.8480,-4.7470,-5.4730
263,1.3100,-0.1697,6.3868,2.8867,2.8831,-4.8202,-5.5225
264,1.3150,-0.2741,6.3392,2.9245,2.8662,-4.8884,-5.5286
265,1.3200,-0.3557,6.3017,2.8901,2.8928,-4.9693,-5.5117
266,1.3250,-0.4475,6.2637,2.9232,2.8993,-5.0227,-5.5904
267,1.3300,-0.5180,6.2468,2.9504,2.9344,-5.0923,-5.5538
268,1.3350,-0.6545,6.1921,2.9548,2.8922,-5.1642,-5.5966
269,1.3400,-0.7463,6.1807,2.9629,2.8867,-5.1984,-5.5919
270,1.3450,-0.8266,6.1645,2.9723,2.9052,-5.2662,-5.5995
271,1.3500,-0.8997,6.1003,2.9945,2.9117,-5.2908,-5.5872
272,1.3550,-0.9997,6.0398,2.9995,2.9481,-5.3777,-5.5550
273,1.3600,-1.1003,5.9919,2.9976,2.9500,-5.4351,-5.6086
274,1.3650,-1.1477,5.9244,3.0396,2.9614,-5.4906,-5.5286
275,1.3700,-1.2808,5.9062,3.0586,2.9679,-5.5305,-5.5495
276,1.3750,-1.3672,5.8396,3.0752,2.9747,-5.5598,-5.5143
277,1.3800,-1.4523,5.8172,3.0586,2.9607,-5.6131,-5.4771
278,1.3850,-1.5525,5.7487,3.0624,2.9552,-5.6454,-5.5102
279,1.3900,-1.5952,5.7091,3.0783,2.9851,-5.6864,-5.4361
280,1.3950,-1.7094,5.6557,3.0946,2.9773,-5.7310,-5.4423
281,1.4000,-1.7507,5.6090,3.0377,2.9828,-5.7623,-5.3992
282,1.4050,-1.8435,5.5298,3.0811,2.9955,-5.7938,-5.3770
283,1.4100,-1.9234,5.4635,3.0987,2.9926,-5.8130,-5.3342
284,1.4150,-2.0136,5.4141,3.0958,2.9679,-5.8674,-5.2903
285,1.4200,-2.0952,5.3683,3.1052,3.0147,-5.8852,-5.2566
286,1.4250,-2.1853,5.2814,3.0937,3.0065,-5.9191,-5.2188
287,1.4300,-2.2876,5.2476,3.1162,2.9936,-5.9241,-5.2162
288,1.4350,-2.3638,5.1804,3.1277,2.9883,-5.9671,-5.0926
289,1.4400,-2.4664,5.1002,3.1490,3.0131,-5.9799,-5.0911
290,1.4450,-2.5742,5.0508,3.1406,3.0137,-5.9906,-4.9892
291,1.4500,-2.6206,4.9845,3.1368,3.0254,-5.9856,-4.9380
292,1.4550,-2.7076,4.9089,3.1428,3.0299,-5.9910,-4.9360
