开始时间：,2025-10-21 14.40.19.061,2025-10-21 14.40.19.061,2025-10-21 14.40.19.061,2025-10-21 14.40.19.061,2025-10-21 14.40.19.061,2025-10-21 14.40.19.061
结束时间：,2025-10-21 14.42.49.056,2025-10-21 14.42.49.056,2025-10-21 14.42.49.056,2025-10-21 14.42.49.056,2025-10-21 14.42.49.056,2025-10-21 14.42.49.056
采样频率：,200Hz,200Hz,200Hz,200Hz,200Hz,200Hz
数据长度：,30000,30000,30000,30000,30000,30000
序列号:,201119103,201119084,201119085,201119088,201119101,201119105
测点标签:,1,9084,9085,9088,9101,9105
序号：,波高(mm),波高(mm),波高(mm),波高(mm),波高(mm),波高(mm)
1,1.7280,1.6941,-2.3645,-2.0127,-1.0183,-4.2888
2,1.7680,1.9201,-2.2507,-1.9513,-0.9665,-4.4179
3,1.7951,2.1460,-2.1274,-1.8451,-0.9021,-4.5248
4,1.7937,2.3699,-2.0039,-1.8230,-0.8571,-4.6668
5,1.8293,2.5976,-1.8757,-1.7324,-0.7939,-4.7307
6,1.8198,2.8574,-1.7624,-1.6483,-0.7043,-4.8683
7,1.8405,3.0665,-1.6279,-1.5797,-0.6395,-4.8911
8,1.8391,3.2369,-1.5066,-1.4904,-0.5706,-5.0379
9,1.8361,3.4319,-1.3909,-1.4423,-0.5095,-5.0824
10,1.8479,3.5921,-1.2698,-1.4007,-0.4655,-5.1737
11,1.8689,3.7619,-1.1288,-1.3134,-0.3973,-5.1951
12,1.8801,3.9231,-1.0290,-1.2474,-0.3748,-5.2906
13,1.9015,4.0806,-0.9098,-1.1886,-0.3080,-5.2877
14,1.9241,4.2609,-0.7894,-1.1035,-0.2563,-5.3741
15,1.8974,4.4426,-0.7244,-1.0509,-0.1958,-5.3896
16,1.8957,4.6087,-0.6477,-1.0418,-0.1626,-5.4619
17,1.9011,4.7595,-0.5448,-0.9495,-0.1213,-5.4147
18,1.9123,4.8761,-0.4692,-0.8989,-0.0836,-5.4909
19,1.9269,5.0263,-0.3675,-0.8300,-0.0266,-5.4616
20,1.9624,5.1663,-0.3075,-0.7653,0.0111,-5.4897
21,1.9394,5.3091,-0.1920,-0.7215,0.0339,-5.3969
22,1.9919,5.4666,-0.1173,-0.6877,0.0789,-5.4112
23,1.9872,5.5695,-0.0479,-0.6406,0.1165,-5.3155
24,2.0098,5.6668,0.0184,-0.6036,0.1618,-5.3325
25,2.0400,5.7912,0.0963,-0.5636,0.1998,-5.1933
26,2.0745,5.8937,0.1588,-0.5165,0.2421,-5.1483
27,2.1173,5.9644,0.2314,-0.5013,0.2827,-5.0083
28,2.1081,6.0826,0.3084,-0.4522,0.3402,-4.9579
29,2.1217,6.1594,0.3606,-0.4149,0.3731,-4.7802
30,2.1501,6.2441,0.4309,-0.3781,0.3657,-4.7687
31,2.1206,6.3344,0.4854,-0.3509,0.4077,-4.6077
32,2.1586,6.4093,0.5501,-0.3116,0.4433,-4.5353
33,2.2080,6.4670,0.6173,-0.2852,0.4923,-4.3377
34,2.2114,6.5195,0.6861,-0.2580,0.5443,-4.2568
35,2.1874,6.5760,0.7096,-0.2316,0.5769,-4.0832
36,2.1904,6.6168,0.7415,-0.2281,0.6035,-4.0223
37,2.1989,6.6681,0.8018,-0.2122,0.6179,-3.8454
38,2.1996,6.6985,0.8428,-0.1816,0.6367,-3.7276
39,2.1992,6.7375,0.8819,-0.1790,0.6511,-3.5338
40,2.1972,6.7526,0.9266,-0.1631,0.6894,-3.4316
41,2.1972,6.8204,0.9698,-0.1608,0.7028,-3.2275
42,2.1796,6.8260,1.0186,-0.1251,0.7096,-3.0928
43,2.1704,6.8748,1.0395,-0.1137,0.7408,-2.9153
44,2.1569,6.9021,1.0887,-0.1186,0.7590,-2.7452
45,2.1542,6.9095,1.1227,-0.1105,0.7613,-2.5521
46,2.1467,6.9415,1.1399,-0.0744,0.7700,-2.4078
47,2.1609,6.9264,1.1512,-0.0676,0.8009,-2.1711
48,2.1244,6.9629,1.1787,-0.0533,0.8013,-2.0197
49,2.1528,6.9721,1.1359,-0.0358,0.8120,-1.7983
50,2.1386,6.9504,1.1822,-0.0507,0.8275,-1.6275
51,2.0939,6.9627,1.2450,-0.0290,0.8315,-1.4202
52,2.0928,6.9642,1.2503,-0.0153,0.8342,-1.2486
53,2.1037,6.9639,1.2681,-0.0137,0.8352,-1.0186
54,2.0952,6.9627,1.2735,0.0506,0.8395,-0.8526
55,2.0715,6.9522,1.2804,0.0328,0.8469,-0.5952
56,2.0806,6.9504,1.2941,0.0260,0.8573,-0.4317
57,2.0410,6.8945,1.3098,0.0409,0.8688,-0.2103
58,2.0308,6.8662,1.3507,0.0539,0.8788,-0.0293
59,2.0122,6.8788,1.3141,0.0523,0.8775,0.1983
60,1.9482,6.8334,1.3491,0.0432,0.8869,0.3436
61,1.9617,6.7925,1.3510,0.0341,0.9111,0.5785
62,1.9286,6.7326,1.3808,0.0523,0.9134,0.7298
63,1.9685,6.7256,1.3832,0.0656,0.9269,0.9264
64,1.9313,6.6752,1.3848,0.0584,0.9228,1.0377
65,1.8923,6.6390,1.4117,0.0523,0.9292,1.2310
66,1.8682,6.5619,1.3948,0.0591,0.9430,1.3150
67,1.8337,6.5161,1.4227,0.0393,0.9625,1.5286
68,1.7693,6.4517,1.4267,0.0809,0.9611,1.6021
69,1.7331,6.3955,1.4248,0.0870,0.9782,1.7814
70,1.6789,6.3187,1.4392,0.0724,0.9709,1.8341
71,1.6315,6.2557,1.4549,0.0851,0.9796,1.9931
72,1.5773,6.1461,1.4483,0.0857,0.9746,2.0608
73,1.5176,6.0992,1.4621,0.0783,0.9675,2.1929
74,1.4827,5.9815,1.4667,0.1075,0.9762,2.2301
75,1.3804,5.8984,1.4739,0.0951,0.9665,2.3440
76,1.2978,5.7826,1.4789,0.0870,0.9796,2.3619
77,1.2229,5.6785,1.4624,0.1046,0.9719,2.4503
78,1.1199,5.6076,1.4686,0.1289,0.9954,2.4972
79,0.9994,5.5078,1.4474,0.1338,0.9594,2.5599
80,0.8794,5.3597,1.4520,0.1331,0.9480,2.5994
81,0.7578,5.2216,1.4430,0.1179,0.9507,2.6355
82,0.6257,5.0647,1.4486,0.1065,0.9641,2.6648
83,0.4787,4.9450,1.4527,0.1289,0.9618,2.6844
84,0.3351,4.7770,1.4436,0.1510,0.9574,2.6902
85,0.1721,4.6539,1.4392,0.1234,0.9631,2.6964
86,0.0058,4.4616,1.4348,0.1263,0.9655,2.7544
87,-0.1450,4.3048,1.4464,0.0961,0.9618,2.7391
88,-0.3292,4.1577,1.4308,0.1075,0.9554,2.7857
89,-0.5020,4.0115,1.4227,0.1354,0.9557,2.7807
90,-0.6985,3.8454,1.4452,0.1270,0.9608,2.7828
91,-0.8618,3.6766,1.4289,0.1390,0.9635,2.7986
92,-1.0335,3.4674,1.3873,0.1244,0.9581,2.8077
93,-1.2225,3.2885,1.4164,0.1237,0.9621,2.8200
94,-1.3709,3.0692,1.3961,0.1137,0.9500,2.8355
95,-1.5301,2.8215,1.3814,0.1338,0.9836,2.8739
96,-1.6341,2.6004,1.4036,0.1328,0.9675,2.8522
97,-1.9248,2.3407,1.3498,0.1143,0.9534,2.8393
98,-2.0732,2.1098,1.3279,0.1364,0.9581,2.8754
99,-2.3015,1.8504,1.3410,0.1146,0.9665,2.8724
100,-2.4888,1.5750,1.3151,0.0627,0.9410,2.8792
101,-2.6565,1.3272,1.3029,0.0594,0.9252,2.8745
102,-2.8618,1.1034,1.2835,0.0679,0.9292,2.8836
103,-3.0667,0.8587,1.2669,0.0682,0.9218,2.9181
104,-3.2439,0.6322,1.2444,0.0610,0.9101,2.9005
105,-3.4126,0.4216,1.2219,0.0594,0.9081,2.9173
106,-3.6168,0.2070,1.1937,0.0880,0.8818,2.8809
107,-3.7669,-0.0095,1.1399,0.0867,0.8607,2.9243
108,-3.9386,-0.2462,1.1499,0.0841,0.8416,2.8991
109,-4.1029,-0.4485,1.1083,0.0890,0.8268,2.9298
110,-4.2537,-0.6729,1.0936,0.0861,0.8187,2.9134
111,-4.3838,-0.8957,1.0364,0.0506,0.8093,2.9222
112,-4.4796,-1.1533,1.0123,0.0273,0.7808,2.8900
113,-4.6083,-1.3577,0.9592,0.0516,0.7502,2.9360
114,-4.7330,-1.5438,0.8822,0.0201,0.7415,2.9237
115,-4.8302,-1.7442,0.8766,0.0152,0.6985,2.9539
116,-4.9224,-1.9619,0.8278,0.0198,0.6669,2.9131
117,-5.0095,-2.1584,0.7887,-0.0056,0.6619,2.9565
118,-5.1097,-2.3134,0.7496,0.0029,0.6156,2.9205
119,-5.1968,-2.4653,0.7093,-0.0140,0.6021,2.9471
120,-5.2659,-2.6120,0.6333,-0.0127,0.5534,2.9175
121,-5.3245,-2.7351,0.5736,-0.0280,0.5340,2.9535
122,-5.3997,-2.8659,0.5251,-0.0462,0.4977,2.8979
123,-5.4281,-3.0648,0.4507,-0.0523,0.4621,2.9466
124,-5.4850,-3.2112,0.3715,-0.0640,0.4167,2.8988
125,-5.5467,-3.3589,0.3043,-0.0877,0.3774,2.9237
126,-5.5667,-3.4627,0.2186,-0.0699,0.3204,2.9070
127,-5.6083,-3.5851,0.0972,-0.0809,0.2703,2.9219
128,-5.6151,-3.7245,0.0544,-0.1209,0.2193,2.8965
129,-5.6117,-3.8537,-0.0369,-0.1274,0.1827,3.0098
130,-5.6351,-3.9483,-0.0923,-0.1254,0.1575,2.9296
131,-5.6056,-4.0204,-0.1970,-0.1664,0.0960,2.9741
132,-5.5904,-4.1628,-0.2743,-0.1953,0.0420,2.9626
133,-5.5518,-4.2534,-0.3806,-0.2177,-0.0047,2.9290
134,-5.5165,-4.3332,-0.4798,-0.2131,-0.0427,2.9635
135,-5.4434,-4.3841,-0.5749,-0.2615,-0.1219,2.9087
136,-5.3587,-4.4523,-0.6959,-0.3161,-0.1797,2.9240
137,-5.3221,-4.5370,-0.8060,-0.3304,-0.2452,2.8610
138,-5.2384,-4.6137,-0.9255,-0.3863,-0.2892,2.9243
139,-5.1226,-4.6506,-1.0593,-0.4269,-0.3473,2.8836
140,-5.0402,-4.7218,-1.2026,-0.4672,-0.4211,2.8853
141,-4.9203,-4.7635,-1.3596,-0.4915,-0.4907,2.8762
142,-4.8086,-4.8145,-1.4468,-0.5451,-0.5655,2.8437
143,-4.6836,-4.8734,-1.5929,-0.6059,-0.6216,2.8607
144,-4.5653,-4.8918,-1.7415,-0.6387,-0.6848,2.7980
145,-4.4478,-4.9197,-1.9019,-0.7014,-0.7630,2.8270
146,-4.3384,-4.9535,-2.0655,-0.7651,-0.8430,2.7690
147,-4.1653,-4.9520,-2.1890,-0.8274,-0.8954,2.7631
148,-4.0288,-4.9520,-2.3329,-0.9128,-0.9924,2.7057
149,-3.8567,-4.9388,-2.4887,-0.9872,-1.0341,2.6604
150,-3.6843,-4.9121,-2.6410,-1.0408,-1.0895,2.6402
151,-3.5071,-4.9188,-2.7911,-1.1561,-1.1774,2.5953
152,-3.3269,-4.9056,-2.9219,-1.2351,-1.2567,2.5373
153,-3.1047,-4.8498,-3.0482,-1.3410,-1.3195,2.4641
154,-2.9085,-4.8267,-3.1924,-1.4124,-1.3941,2.4442
155,-2.7185,-4.7733,-3.3169,-1.4852,-1.4663,2.3350
156,-2.5393,-4.7414,-3.4965,-1.5950,-1.5388,2.2998
157,-2.3540,-4.6195,-3.5728,-1.6616,-1.6103,2.1742
158,-2.1744,-4.5496,-3.6948,-1.7554,-1.6893,2.1205
159,-1.9678,-4.5008,-3.8164,-1.8769,-1.7373,1.9969
160,-1.7625,-4.4363,-3.9453,-1.9672,-1.8065,1.9325
161,-1.5714,-4.3283,-4.0551,-2.0790,-1.8934,1.8273
162,-1.3814,-4.2537,-4.1884,-2.1842,-1.9549,1.6657
163,-1.2330,-4.1247,-4.2766,-2.2401,-2.0026,1.5632
164,-1.0711,-4.0127,-4.3654,-2.3658,-2.0721,1.3985
165,-0.9112,-3.9176,-4.4605,-2.4581,-2.1326,1.2984
166,-0.7706,-3.7696,-4.5634,-2.5470,-2.1833,1.1030
167,-0.5891,-3.6828,-4.6378,-2.6714,-2.2488,0.9815
168,-0.4106,-3.5900,-4.7067,-2.7381,-2.3297,0.7797
169,-0.2036,-3.4467,-4.7886,-2.8283,-2.3633,0.6511
170,-0.0101,-3.2960,-4.8574,-2.9209,-2.4341,0.4718
171,0.1199,-3.1274,-4.9118,-2.9764,-2.4825,0.2668
172,0.2737,-2.9749,-4.9775,-3.0550,-2.5185,0.1274
173,0.3842,-2.7935,-5.0351,-3.1168,-2.5644,-0.0993
174,0.5491,-2.6648,-5.0826,-3.1710,-2.5974,-0.2490
175,0.6914,-2.5599,-5.1221,-3.2399,-2.6501,-0.4815
176,0.8154,-2.4202,-5.1577,-3.3052,-2.6719,-0.6411
177,0.9570,-2.2551,-5.2403,-3.3821,-2.7243,-0.8432
178,1.0298,-2.0954,-5.2068,-3.4218,-2.7451,-1.0108
179,1.1714,-1.8931,-5.2431,-3.4552,-2.7468,-1.2090
180,1.2669,-1.7117,-5.2481,-3.4874,-2.7743,-1.3464
181,1.3425,-1.4867,-5.2459,-3.5130,-2.8177,-1.5048
182,1.4133,-1.2795,-5.2231,-3.5429,-2.8153,-1.6946
183,1.4936,-1.0812,-5.2134,-3.6049,-2.8217,-1.8223
184,1.5623,-0.8798,-5.1812,-3.6027,-2.8331,-2.0449
185,1.5915,-0.6320,-5.1881,-3.6329,-2.8240,-2.1260
186,1.6623,-0.4347,-5.0651,-3.6345,-2.7942,-2.3521
187,1.7365,-0.2480,-4.9988,-3.6634,-2.7619,-2.4625
188,1.7456,-0.0592,-4.9306,-3.6374,-2.7559,-2.6209
189,1.7852,0.1735,-4.8434,-3.6202,-2.7270,-2.7340
190,1.8384,0.3528,-4.7470,-3.5741,-2.7109,-2.8851
191,1.8882,0.5941,-4.6482,-3.5429,-2.6464,-3.0216
192,1.9086,0.6967,-4.5693,-3.4900,-2.6198,-3.1147
193,1.9370,0.9155,-4.4395,-3.4494,-2.5523,-3.3030
194,1.9736,1.1525,-4.3369,-3.3646,-2.5064,-3.3768
195,2.0044,1.4135,-4.2206,-3.3009,-2.4446,-3.5347
196,2.0129,1.6784,-4.0926,-3.2415,-2.3633,-3.5803
197,2.0305,1.9428,-3.9816,-3.1781,-2.3180,-3.7192
198,2.0522,2.2056,-3.8412,-3.0824,-2.2384,-3.8017
199,2.0773,2.4103,-3.6926,-2.9836,-2.1782,-3.9019
200,2.0817,2.5636,-3.5252,-2.9544,-2.1020,-3.9924
201,2.0901,2.8052,-3.3970,-2.8358,-2.0255,-4.0756
202,2.1121,3.0349,-3.2309,-2.7647,-1.9442,-4.1927
203,2.1501,3.2049,-3.0795,-2.6792,-1.8864,-4.2308
204,2.1928,3.4144,-2.9075,-2.5889,-1.8018,-4.3090
205,2.1592,3.5341,-2.7711,-2.4730,-1.7349,-4.3526
206,2.1576,3.7137,-2.5969,-2.3788,-1.6567,-4.4589
207,2.1762,3.8761,-2.4399,-2.2323,-1.5778,-4.4478
208,2.1853,3.9925,-2.2491,-2.1712,-1.5177,-4.5523
209,2.1718,4.1660,-2.0818,-2.0432,-1.4397,-4.5277
210,2.1830,4.2873,-1.9051,-1.9575,-1.3595,-4.5658
211,2.1857,4.4218,-1.7443,-1.8367,-1.2493,-4.5649
212,2.1884,4.5381,-1.5926,-1.7337,-1.1795,-4.5931
213,2.1796,4.6968,-1.4253,-1.6353,-1.0878,-4.6335
214,2.2236,4.8267,-1.2811,-1.5291,-1.0233,-4.6396
215,2.2436,4.9594,-1.1300,-1.4339,-0.9736,-4.6413
216,2.2775,5.0469,-0.9990,-1.3475,-0.9004,-4.5945
217,2.2070,5.1733,-0.8498,-1.2614,-0.8114,-4.6133
218,2.2114,5.2999,-0.7018,-1.1623,-0.7395,-4.5734
219,2.2595,5.4043,-0.5552,-1.0424,-0.6623,-4.5506
220,2.2605,5.5053,-0.4345,-0.9970,-0.5844,-4.4870
221,2.2629,5.6306,-0.3278,-0.8859,-0.4950,-4.4291
222,2.2639,5.6898,-0.2080,-0.8173,-0.4054,-4.3881
223,2.2639,5.7679,-0.1160,-0.7104,-0.3328,-4.2853
224,2.2575,5.8587,-0.0363,-0.6702,-0.2596,-4.2205
225,2.2480,5.9404,0.0259,-0.5981,-0.1918,-4.0999
226,2.2673,6.0144,0.1588,-0.5406,-0.1693,-4.0659
227,2.2693,6.0288,0.2402,-0.4922,-0.0591,-3.9417
228,2.2734,6.0733,0.3481,-0.4431,-0.0282,-3.8846
229,2.2632,6.1422,0.4281,-0.4214,0.0312,-3.7429
230,2.2480,6.2275,0.5260,-0.3827,0.0980,-3.6574
231,2.2873,6.3037,0.6167,-0.3502,0.1481,-3.5473
232,2.2687,6.3279,0.6680,-0.3086,0.2246,-3.4325
233,2.2565,6.3795,0.7440,-0.2599,0.2757,-3.3315
234,2.2189,6.4250,0.8210,-0.2511,0.3217,-3.1865
235,2.2771,6.4750,0.8751,-0.2141,0.3946,-3.1109
236,2.2341,6.4965,0.9329,-0.1657,0.4235,-2.9624
237,2.2206,6.5205,0.9805,-0.1624,0.4768,-2.9044
238,2.2463,6.5527,1.0252,-0.1348,0.5212,-2.7363
239,2.2097,6.5868,1.0552,-0.1430,0.5571,-2.6163
240,2.2097,6.6092,1.1202,-0.1085,0.6142,-2.4443
241,2.1769,6.6362,1.1524,-0.0572,0.6505,-2.2769
242,2.1982,6.6568,1.1931,-0.0348,0.6894,-2.1131
243,2.1907,6.6715,1.2203,-0.0455,0.7297,-1.9737
244,2.1877,6.6319,1.2428,-0.0254,0.7637,-1.8496
245,2.1853,6.6439,1.2703,-0.0039,0.7831,-1.7028
246,2.1819,6.6344,1.3044,-0.0004,0.8117,-1.5625
247,2.1843,6.6792,1.3263,0.0022,0.8352,-1.3795
248,2.1616,6.6396,1.3670,0.0347,0.8651,-1.2550
249,2.1752,6.6497,1.3889,0.0114,0.9114,-1.0342
250,2.1416,6.6439,1.4208,0.0185,0.9064,-0.8860
251,2.1531,6.6599,1.4183,0.0269,0.9410,-0.6789
252,2.1084,6.6040,1.4348,0.0422,0.9568,-0.5568
253,2.0708,6.6196,1.4427,0.0718,0.9752,-0.3916
254,2.0820,6.5797,1.4711,0.0925,0.9648,-0.2314
255,2.0573,6.5561,1.4667,0.0929,0.9963,-0.0343
256,2.0214,6.4867,1.4896,0.0831,0.9843,0.1218
257,2.0037,6.5232,1.5121,0.0779,0.9903,0.2899
258,1.9882,6.4891,1.5102,0.0906,0.9829,0.4581
259,1.9363,6.4366,1.5133,0.1247,1.0081,0.5685
260,1.8930,6.3940,1.5321,0.1224,1.0078,0.7182
261,1.8710,6.3804,1.5377,0.1325,1.0343,0.8309
262,1.8466,6.3291,1.5377,0.1176,1.0400,1.0070
263,1.8025,6.2853,1.5487,0.1114,1.0558,1.1326
264,1.7564,6.1971,1.5590,0.1478,1.0508,1.2948
265,1.6809,6.1646,1.5599,0.1572,1.0693,1.3558
266,1.6403,6.1234,1.5799,0.1796,1.0870,1.5221
267,1.5698,6.0482,1.5831,0.1903,1.0884,1.6033
268,1.4882,5.9450,1.5834,0.1916,1.0968,1.7386
269,1.4238,5.9011,1.6034,0.1845,1.0961,1.8408
270,1.3459,5.8154,1.6093,0.2228,1.0780,1.9243
271,1.2893,5.7679,1.6244,0.2615,1.1180,1.9990
272,1.1741,5.6908,1.6209,0.2780,1.1095,2.0868
273,1.0335,5.6094,1.6331,0.3014,1.1223,2.1750
274,0.9452,5.4998,1.6294,0.2901,1.1126,2.1858
275,0.8371,5.4221,1.6444,0.3489,1.1324,2.3124
276,0.6890,5.2907,1.6284,0.3609,1.1401,2.3142
277,0.5261,5.1976,1.6691,0.3807,1.1421,2.4290
278,0.3970,5.0945,1.6541,0.4067,1.1378,2.4439
279,0.2463,4.9910,1.6509,0.4337,1.1569,2.5435
280,0.0939,4.8497,1.6584,0.4155,1.1448,2.5538
281,-0.0535,4.7558,1.6441,0.4668,1.1478,2.6158
282,-0.1958,4.6063,1.6756,0.4681,1.1562,2.6639
283,-0.3719,4.4982,1.6694,0.4746,1.1535,2.6973
284,-0.5738,4.3207,1.6591,0.5132,1.1653,2.7180
285,-0.7432,4.1730,1.6478,0.5048,1.1912,2.7140
286,-0.9099,4.0533,1.6672,0.4859,1.1683,2.7520
287,-1.0677,3.9354,1.6669,0.5009,1.1874,2.7178
288,-1.2767,3.7929,1.6162,0.5171,1.1532,2.7776
289,-1.4143,3.6256,1.6660,0.4707,1.1673,2.7382
290,-1.5610,3.4979,1.6569,0.4788,1.1814,2.7866
291,-1.7104,3.3391,1.6619,0.4892,1.1908,2.7842
292,-1.8906,3.1700,1.6591,0.4700,1.1707,2.8419
293,-2.0267,3.0085,1.6456,0.4717,1.1972,2.8054
294,-2.2002,2.8037,1.6050,0.4999,1.1949,2.8499
295,-2.3391,2.6038,1.6369,0.4629,1.2012,2.8094
296,-2.5355,2.3680,1.6247,0.4350,1.1814,2.8636
297,-2.6975,2.1838,1.6169,0.4470,1.1938,2.8214
298,-2.8540,1.9928,1.6144,0.4359,1.1838,2.8745
299,-2.9956,1.7368,1.6012,0.4700,1.1653,2.8376
300,-3.1589,1.5326,1.5943,0.4713,1.1542,2.8897
301,-3.3577,1.3340,1.5677,0.4895,1.1475,2.8660
302,-3.4942,1.0967,1.5208,0.4960,1.1559,2.9108
303,-3.6439,0.9011,1.5302,0.5015,1.1747,2.8943
304,-3.8147,0.6905,1.5058,0.4593,1.1700,2.9131
305,-3.9631,0.4937,1.5127,0.4765,1.1777,2.8979
306,-4.0996,0.3037,1.4677,0.4470,1.1482,2.9459
307,-4.1825,0.1425,1.4433,0.4729,1.1640,2.9096
308,-4.3113,-0.0724,1.4223,0.4356,1.1468,2.9462
309,-4.4115,-0.2031,1.3842,0.4288,1.1331,2.9495
310,-4.5447,-0.4101,1.3701,0.4304,1.1364,2.9275
311,-4.6283,-0.5872,1.3263,0.4350,1.1441,2.9433
312,-4.7337,-0.7736,1.2697,0.4031,1.1263,2.9214
313,-4.7876,-0.9344,1.2266,0.3794,1.1321,2.9439
314,-4.8824,-1.1257,1.1972,0.3953,1.1002,2.9280
315,-4.9295,-1.2902,1.1662,0.4028,1.0921,2.9606
316,-4.9688,-1.4956,1.1005,0.3908,1.0672,2.9471
317,-5.0484,-1.6490,1.0408,0.3534,1.0602,2.9650
318,-5.0721,-1.8026,0.9970,0.3736,1.0474,2.9416
319,-5.1073,-1.9437,0.9451,0.3641,1.0377,2.9929
320,-5.1368,-2.1761,0.8697,0.3346,1.0283,2.9193
321,-5.1754,-2.3063,0.7878,0.3349,0.9846,2.9773
322,-5.1920,-2.4503,0.7055,0.3281,0.9709,2.9160
323,-5.1971,-2.5795,0.6189,0.3183,0.9507,2.9620
324,-5.1917,-2.7155,0.5238,0.2845,0.9000,2.9363
325,-5.1812,-2.8598,0.4463,0.2628,0.8809,2.9623
326,-5.1581,-2.9758,0.3471,0.2485,0.8500,2.9307
327,-5.1358,-3.0586,0.2517,0.2569,0.8224,2.9468
328,-5.0975,-3.1508,0.1557,0.2358,0.7707,2.9280
329,-5.0216,-3.2662,0.0606,0.2202,0.7297,2.9480
330,-4.9620,-3.4111,-0.0454,0.1702,0.6995,2.9354
331,-4.8810,-3.4930,-0.1758,0.1575,0.6495,2.9395
332,-4.8336,-3.6045,-0.2984,0.1257,0.5947,2.8959
333,-4.7472,-3.6705,-0.4451,0.1062,0.5692,2.9131
334,-4.6490,-3.7718,-0.6093,0.0614,0.4923,2.9091
335,-4.5409,-3.8298,-0.7503,0.0165,0.4527,2.8882
336,-4.4485,-3.9418,-0.9183,-0.0465,0.3815,2.8988
337,-4.3424,-4.0100,-1.0596,-0.0933,0.3381,2.8507
338,-4.2090,-4.0867,-1.2457,-0.1517,0.2626,2.8566
339,-4.0931,-4.2165,-1.4393,-0.1758,0.2082,2.8217
340,-3.9539,-4.2196,-1.6617,-0.2329,0.1175,2.8206
341,-3.7923,-4.3108,-1.8378,-0.3099,0.0272,2.7705
342,-3.6348,-4.3531,-2.0270,-0.3911,-0.0346,2.8352
343,-3.4739,-4.4268,-2.2334,-0.4785,-0.1240,2.7676
344,-3.2971,-4.4949,-2.4540,-0.5912,-0.1982,2.7667
345,-3.1138,-4.5048,-2.6576,-0.6624,-0.3043,2.7427
346,-2.9417,-4.5425,-2.8380,-0.7637,-0.3963,2.7374
347,-2.7510,-4.5901,-3.0204,-0.8635,-0.5028,2.7122
348,-2.5819,-4.6303,-3.2090,-0.9983,-0.5965,2.6615
349,-2.4376,-4.6929,-3.4089,-1.0886,-0.6915,2.6527
350,-2.2855,-4.6825,-3.5715,-1.2166,-0.8030,2.6135
351,-2.1243,-4.6804,-3.7476,-1.3280,-0.8917,2.6059
352,-1.9539,-4.6889,-3.9303,-1.4884,-0.9975,2.5101
353,-1.8292,-4.6684,-4.0879,-1.6122,-1.1063,2.5128
354,-1.6653,-4.6914,-4.2615,-1.7548,-1.2241,2.4105
355,-1.5115,-4.6865,-4.4280,-1.8591,-1.2826,2.3891
356,-1.3746,-4.6650,-4.5631,-1.9838,-1.4226,2.2854
357,-1.2581,-4.6162,-4.6973,-2.1192,-1.5267,2.2793
358,-1.0901,-4.5981,-4.8606,-2.2768,-1.6506,2.1706
359,-0.9360,-4.5278,-4.9926,-2.3986,-1.7601,2.1003
360,-0.7727,-4.5020,-5.1274,-2.5370,-1.8669,2.0192
361,-0.6165,-4.3998,-5.2315,-2.6828,-1.9875,1.9219
362,-0.4566,-4.3765,-5.3445,-2.7887,-2.0802,1.8370
363,-0.2737,-4.2490,-5.4455,-2.8933,-2.1816,1.7166
364,-0.1151,-4.2270,-5.5250,-3.0197,-2.2857,1.6252
365,0.0393,-4.1214,-5.6135,-3.1298,-2.3794,1.5163
366,0.1721,-4.0425,-5.6886,-3.2093,-2.4882,1.4038
367,0.2971,-3.9501,-5.7399,-3.3038,-2.5735,1.2682
368,0.4242,-3.8448,-5.8093,-3.3942,-2.6726,1.1704
369,0.5295,-3.7454,-5.8753,-3.4770,-2.7455,1.0040
370,0.6548,-3.6370,-5.9225,-3.5332,-2.8271,0.9279
371,0.7900,-3.5286,-5.9895,-3.6088,-2.9110,0.7515
372,0.8537,-3.4672,-6.0492,-3.7183,-2.9910,0.6399
373,0.9499,-3.3076,-6.0961,-3.7852,-3.0699,0.4812
374,1.0630,-3.2051,-6.1393,-3.8749,-3.1340,0.3137
375,1.1836,-3.1063,-6.1597,-3.9389,-3.1915,0.1980
376,1.2575,-2.9626,-6.2022,-4.0204,-3.2714,0.0316
377,1.3327,-2.8352,-6.2260,-4.0675,-3.3254,-0.1008
378,1.4085,-2.7382,-6.2319,-4.1243,-3.3943,-0.2885
379,1.4878,-2.5998,-6.2110,-4.1480,-3.4490,-0.3834
380,1.5281,-2.4650,-6.2019,-4.2091,-3.4964,-0.6151
381,1.5922,-2.3051,-6.1737,-4.2555,-3.5269,-0.7270
382,1.6386,-2.1427,-6.1299,-4.2919,-3.5663,-0.8922
383,1.7212,-1.9373,-6.0367,-4.2929,-3.6190,-1.0327
384,1.7480,-1.7642,-5.9873,-4.3042,-3.6657,-1.1879
385,1.7575,-1.6205,-5.9032,-4.2938,-3.7033,-1.3142
386,1.8269,-1.4425,-5.8475,-4.2669,-3.7177,-1.4858
387,1.8632,-1.1954,-5.7533,-4.2139,-3.7395,-1.6196
388,1.8760,-1.0139,-5.6667,-4.2133,-3.7466,-1.7556
389,1.8845,-0.8006,-5.5784,-4.1685,-3.7489,-1.9254
390,1.9252,-0.6222,-5.4552,-4.1048,-3.7385,-2.0402
391,1.9563,-0.4350,-5.3204,-3.9983,-3.7449,-2.1787
392,2.0031,-0.2465,-5.2037,-3.9232,-3.7123,-2.2953
